figure_id,chapter,title,book_page,claim_summary,original_dataset,dataset_url,archive_url,download_date,confidence_score,book_citation,reproduction_status,execution_status,publication_status,visual_validation,notes
8-1,8,"Gross World Product, 1-2015",Rendered PDF preview page page-07.png,Gross world product was nearly flat for most of history and rose steeply after industrialization.,,,,2026-06-30,medium,"Our World in Data, Roser 2016c, based on data from the World Bank and from Angus Maddison and Maddison Project 2014.",updated_equivalent,processed,not_reviewed,pending,"The successor OWID/Maddison/World Bank series preserves the hockey-stick shape and book-period coverage, but the 2015 scale is materially above the printed figure's apparent endpoint, so this is an updated equivalent rather than an exact reproduction."
8-2,8,"GDP per capita, 1600-2015",Rendered PDF preview page page-07.png,"Selected countries and the world became much richer, with uneven timing and levels.",,,,2026-06-30,medium,"Our World in Data, Roser 2016c, based on data from the World Bank and from Maddison Project 2014.",updated_equivalent,processed,not_reviewed,pending,"The selected countries and line ordering broadly match the book, but current Maddison 2020/OWID data are not the cited Maddison Project 2014/World Bank 2016 vintage. Remaining differences are not typography-only."
8-3,8,"World income distribution, 1800, 1975, and 2015",Supplemental PDF page 8,"World income distribution shifted rightward from 1800 to 2015, with the 1975 twin-hump distribution collapsing into a richer 2015 single-hump distribution.",Gapminder Income Mountains dataset v2,https://docs.google.com/spreadsheets/d/1939CzZ5HHoLreb0YyopaWfNjJ9mnN27IhywI6-TuwZs/export?format=xlsx,Not captured in this pass.,2026-07-01,0.78,"Gapminder, via Ola Rosling, http://www.gapminder.org/tools/mountain. The scale is in 2011 international dollars.",updated_equivalent,processed,not_reviewed,pending,"Same Gapminder source family and variables were located, but the downloaded v2 workbook is a 2018 successor rather than a proven book-era snapshot. Shares were multiplied by workbook population to plot people in each income bin, matching the visible figure geometry more closely than normalized shares."
8-4,8,"Extreme poverty (proportion), 1820-2015",Kindle page 87 search result,The proportion of the world population in extreme poverty fell sharply from the nineteenth century to 2015.,,,,2026-06-29,0.84,"Our World in Data, Roser & Ortiz-Ospina 2017, based on Bourguignon & Morrisson 2002 and World Bank 2016g.",verified_reproduction,processed,not_reviewed,pending,Book-period reconstruction is verified. The comparison layout was remediated so the recreated plot area is comparable to the Kindle crop; no comparable world extension is plotted.
8-5,8,"Extreme poverty (number), 1820-2015",Rendered PDF preview page page-09.png,The number of people in extreme poverty fell even as the number not in extreme poverty rose rapidly.,,,,2026-06-30,high,"Our World in Data, Roser & Ortiz-Ospina 2017, based on data from Bourguignon & Morrison 2002 (1820-1992) and the World Bank 2016g (1981-2015).",verified_reproduction,processed,not_reviewed,pending,"A falsification audit found no material source, encoding, or endpoint issue. The reconstruction uses the cited OWID historical absolute-count series and matches the stacked-area visual claim; remaining differences are production styling only."
9-1,9,"International inequality, 1820-2013",Supplemental Graphics PDF page 9,Unweighted international inequality rose historically while population-weighted international inequality fell after the late twentieth century.,"Partial source recovery: OECD/IISH How Was Life? 2014 Table 11.4 recovered for the unweighted/between-country line, 1820-2000; Clio/IISH Dataverse Income Inequality source-input files recovered; Milanovic 2012 population-weighted line and 2012-2013 personal-communication update not recovered as inspectable data.",https://hdl.handle.net/10622/6OHMDS; https://www.oecd.org/content/dam/oecd/en/publications/reports/2014/10/how-was-life_g1g43e0f/9789264214262-en.pdf,Wayback CDX retained at figures/9-1/data/raw/wayback_cdx_clio_income_inequality.json,2026-07-09,0.45,"International inequality: OECD Clio Infra Project, Moatsos et al. 2014; data are for market household income across countries. Population-weighted international inequality: Milanovic 2012; data for 2012 and 2013 provided by Branko Milanovic, personal communication.",manual_review_needed,blocked,incomplete,pending,Unweighted/between-country source values recovered from OECD/IISH Table 11.4 and plotted only as a source-recovery diagnostic. Full reconstruction remains blocked because the Milanovic population-weighted series through 2013 was not recovered as an inspectable data table. No chart-image values were digitized.
9-2,9,"Global inequality, 1820-2011",Supplemental Graphics PDF page 10,Estimated global interpersonal Gini rose into the mid-twentieth century and declined in the 2005-dollar household-survey series after about 2000.,"Milanovic 2016 figure 3.1 underlying table was not recovered as an inspectable data file. Later source-family evidence points to a likely author workbook named History/thepast.xls, but the workbook itself was not recovered.",,,2026-07-09,0.35,"Milanovic 2016, fig. 3.1. The left-hand curve shows 1990 international dollars of disposable income per capita; the right-hand curve shows 2005 international dollars, and combines household surveys of per capita disposable income and consumption.",manual_review_needed,blocked,incomplete,pending,"Recover Milanovic 2016 figure 3.1 spreadsheet, publisher/author supplementary data, or the History/thepast.xls workbook with provenance tying it to figure 3.1. Milanovic 2024 was reviewed as a source-family successor but not plotted because it uses revised 2011-PPP methods and partly unpublished later estimates rather than the book figure's 1990/2005-dollar source vintage. Plotted images are source-recovery/status panels only."
9-3,9,"Inequality, UK and US, 1688-2013",Supplemental Graphics PDF page 10,"Long-run UK and US Gini series rose, fell in the mid-twentieth century, and rose again in recent decades.","Likely workbook identified as US_and_uk.xls / uk_and_usa.xls, but not recovered as an inspectable data file.",,,2026-07-09,0.42,"Milanovic 2016, fig. 2.1, disposable income per capita.",manual_review_needed,blocked,incomplete,pending,Source recovery improved but reconstruction remains blocked. Component-source notes were captured from Milanovic slide evidence; no values were digitized or substituted.
9-4,9,"Social spending, OECD countries, 1880-2016",Preview PDF page image page-11; Kindle-equivalent figure/source inspected,Public social spending rose across market-democratic OECD countries from near-zero late nineteenth-century levels to substantial shares of GDP.,Current OWID grapher successor located; exact 2016b/2017 OWID source snapshot was not recovered.,https://ourworldindata.org/grapher/social-spending-oecd-longrun.csv?v=1&csvType=full&useColumnShortNames=false,,2026-06-30,0.78,"Our World in Data, Ortiz-Ospina & Roser 2016b, based on data from Lindert 2004 and OECD 1985, 2014, 2017.",updated_equivalent,processed,not_reviewed,pending,"For verification, recover the exact OWID Ortiz-Ospina & Roser 2016b/2017 chart data snapshot; otherwise keep updated_equivalent status."
9-5,9,"Income gains, 1988-2008",Supplemental Graphics PDF page 11,"The global growth-incidence curve from 1988 to 2008 has the elephant shape: strong middle-percentile gains, weak upper-middle gains, and renewed top-percentile gains.",Exact Milanovic 2016 figure 1.3/Lakner-Milanovic 2015 summary_data.xls was not recovered. CUNY Stone Center LM-WPID Stata dataset was recovered as the closest inspectable source-family dataset.,https://stonecenter.gc.cuny.edu/publications/lakner-milanovic-world-panel-income-distribution/,https://openknowledge.worldbank.org/entities/publication/16065899-c37d-5750-af68-e9742cec9456,2026-07-09,0.58,"Milanovic 2016, fig. 1.3.",partial_match,blocked,not_reviewed,pending,"Medium-low confidence source-family reconstruction. Values are computed from LM-WPID country-decile data, not digitized from Pinker's chart. Because the exact Milanovic 2016 figure 1.3/summary_data.xls plotted data were not recovered and the recovered source-family curve differs visibly at some fractiles, this is not a verified reproduction."
9-6,9,"Poverty, US, 1960-2016",Supplemental PDF page 12,"US poverty measured by after-tax disposable income and consumption declined substantially, with consumption poverty falling farther.","Meyer & Sullivan 2017 Annual Report on U.S. Consumption Poverty, Table 1.",https://www.aei.org/wp-content/uploads/2018/11/2017-Consumption-Poverty-Report-Meyer-Sullivan-final.pdf,Not captured in this pass.,2026-07-01,0.91,Meyer & Sullivan 2017.,verified_reproduction,processed,not_reviewed,pending,"The cited report was recovered and Table 1 contains the two plotted book-period series. Values are extracted from the source table, not digitized from Pinker's figure."
10-1,10,"Population and population growth, 1750-2015 and projected to 2100",Supplemental PDF page 12,World population growth peaked in the late 20th century while total population continued rising and was projected to level off by 2100.,Exact 2016 OWID/HYDE/IIASA snapshot not recovered.,https://ourworldindata.org/grapher/population.csv; https://ourworldindata.org/grapher/population-growth-rate.csv; https://ourworldindata.org/grapher/population-with-un-projections.csv,Not captured in this pass.,2026-07-01,0.82,"Our World in Data, Ortiz-Ospina & Roser 2016d; UN Population Division and HYDE; post-2015 IIASA medium projection.",updated_equivalent,processed,not_reviewed,pending,"Uses current OWID grapher successor data (HYDE 2023, Gapminder 2022, UN WPP 2024) rather than the exact 2016 OWID/HYDE/IIASA source vintage cited by the book."
10-2,10,"Sustainability, 1955-2109",Supplemental PDF page 13,"The word 'sustainable' rose rapidly in US English books, with XKCD extrapolating the trend satirically into the future.","Google Books Ngram American English 2009/v1 corpus for 'sustainable' (corpus=5), 1955-2008.",https://books.google.com/ngrams/json?content=sustainable&year_start=1955&year_end=2008&corpus=5&smoothing=0,Not found; live Google Ngram endpoint retained with raw JSON payload.,2026-07-05,0.76,"Randall Munroe, XKCD 1007, http://xkcd.com/1007/. Internal data source: Google Ngrams.",updated_equivalent,processed,not_reviewed,pending,"Updated-equivalent is retained because the official XKCD image, Supplemental PDF crop, and Google Ngram source family are recovered. The solid recreated projection is calibrated to XKCD's labeled future points; the data-only Ngram fit is retained as a dotted diagnostic and does not match every label year. No values were digitized from Pinker's printed figure."
10-3,10,"Pollution, energy, and growth, US, 1970-2015",Supplemental PDF page 13,"The United States reduced aggregate air-pollutant emissions after 1970 while GDP, vehicle miles traveled, population, energy use, and CO2 emissions rose.",EPA Our Nation's Air 2016 embedded Highcharts manual data for the GrowthAndEmissions chart.,https://gispub.epa.gov/air/trendsreport/2016/dist/js/etrends.js,Not needed for reconstruction; live EPA 2016 source code and copied raw JS retained.,2026-07-05,0.9,US Environmental Protection Agency 2016; GDP from BEA; vehicle miles from FHWA; population from US Census; energy from US Department of Energy; CO2 from US Greenhouse Gas Inventory; emissions from EPA air-pollutant emissions trends data.,verified_reproduction,processed,not_reviewed,pending,"The plotted reconstruction uses EPA's embedded 2016 chart values, not digitized Pinker values. The Supplemental PDF visibly labels the lower series as five pollutants while EPA's source chart and 2016 text define aggregate emissions as six common pollutants; the reconstruction follows the EPA source data and documents the book-label discrepancy."
10-4,10,"Deforestation, 1700-2010",Supplemental PDF page 14,"Temperate deforestation peaked earlier and then slowed/reversed, while tropical deforestation continued through the late twentieth century.",Partially recovered. Williams Table 12.2 recovers 1700-1995 tropical/temperate period estimates; FAO 2010b/FRA 2010 1996-2010 split remains unrecovered.,,"Wayback CDX, archived FRA 2010 workbooks, remote-sensing reports, and OWID asset probes retained in data/candidates; no SOFO Figure 2 production data file recovered.",2026-07-09,0.55,"United Nations Food and Agriculture Organization 2012, p. 9.",manual_review_needed,blocked,incomplete,pending,Williams period values for 1700-1995 were recovered from an accessible book/snippet source; the FAO 2010b/FRA 2010 1996-2010 tropical/temperate split behind SOFO 2012 Figure 2 remains unrecovered. Pinker's plotted values were not digitized.
10-5,10,"Oil spills, 1970-2016",,,,,,,,"Source: Our World in Data, Roser 2016r, based on data (updated) from the International Tanker Owners Pollution Federation.",partial_match,blocked,not_reviewed,pending,Current repository state: oil-spill line supported; exact annual oil-shipping gray-line source unresolved. See figures/10-5/. | [orchestrator run 20260710T001719-10-5-initial-noetbc: remediate; prev current_status=partial_match] | [orchestrator run 20260710T185733-10-5-remediation-s43iuz: accept; prev current_status=orchestrator_remediation_needed]
10-6,10,"Protected areas, 1990-2014",,,,,,,,,verified_reproduction,processed,not_reviewed,pending,Current repository state: archived WDI 2017 source verifies book-period reconstruction; extension is successor current WDI series. See figures/10-6/.
10-7,10,"Carbon intensity (CO2 emissions per dollar of GDP), 1820-2014",,,,,,,,"Ritchie & Roser 2017, based on data from CDIAC; GDP in 2011 international dollars with pre-1990 GDP from Maddison Project 2014.",verified_reproduction,processed,not_reviewed,pending,Book-period source and visual geometry closely match. Extension is useful but explicitly successor-series only.
10-8,10,"CO2 emissions, 1960-2015",,,,,,,,"Our World in Data, Ritchie & Roser 2017, the OWID annual CO2 emissions by region grapher, CDIAC, and Le Quere et al. 2016; international air and sea corresponds to bunker fuels, and Other corresponds to statistical difference.",verified_reproduction,processed,not_reviewed,pending,Book-period stack uses the exact OWID 2017 regional CDIAC dataset named by the source chain. Extension is visually separated by a 2015 boundary because source definitions changed.
11-1,11,"Great power war, 1500-2015",,The share of years in which great powers fought declined over the long run.,Levy & Thompson 2011 publication-layer series,https://web.archive.org/web/20201024032810id_/https://www.humanprogress.org/dataset/percentage-of-years-in-which-the-great-powers-fought-one-another/percentage-of-years-in-which-the-great-powers-fought-one-another-per-25-years-1513%E2%80%931988.csv,https://web.archive.org/web/20201024032810id_/https://www.humanprogress.org/dataset/percentage-of-years-in-which-the-great-powers-fought-one-another/,2026-09-09,0.70,"Levy & Thompson 2011, updated for the 21st century.",partial_match,processed,incomplete,inspected,Archived Human Progress export recovers the 25-year aggregate trajectory; exact original table and successor data remain unresolved.
11-2,11,"Battle deaths, 1946-2016",,"Battle deaths per 100,000 people per year fell after the postwar peaks, with smaller later increases.",PRIO Battle Deaths Dataset 3.1 and UCDP v5.0-2016,https://ucdp.uu.se/downloads/brd/ucdp-brd-conf-50-2016.csv,https://ucdp.uu.se/downloads/olddw.html,2026-09-09,0.70,Human Security Report Project 2007; PRIO Battle Deaths Dataset; UCDP Battle-Related Deaths Dataset v5.0,partial_match,processed,incomplete,inspected,PRIO/UCDP sources recover the main curve; current OWID population denominator is a documented substitute.
11-3,,"Genocide deaths, 1956-2016",,,,,,,,,partial_match,processed,not_reviewed,inspected,Official PITF and UCDP source-family data recovered; PITF is ordinal and cannot reproduce the published peaks exactly.
12-1,,"Homicide deaths, Western Europe, US, and Mexico, 1300-2015",,,,,,,,,partial_match,processed,not_reviewed,inspected,Public European and UNODC components reproduced; original US regional and early Mexico components remain missing.
12-2,,"Homicide deaths, 1967-2015",,,,,,,,,partial_match,processed,not_reviewed,inspected,US public table recovered; England and World early coverage remain incomplete.
12-3,12,"Motor vehicle accident deaths, US, 1921-2015",,,,,,,,"Kindle cites NHTSA, an informedforlife TRAFFICFATALITIES(1899-2005).pdf mirror, FARS, and NHTSA CrashStats publication 812384. The 2015 NHTSA PDF was recovered; the cited pre-1966 informedforlife PDF was 404 and had no 200 Wayback CDX hit in this pass.",source_chain_recovered,processed,incomplete,pending,Track D 2026-06-30: Kindle source note captured; NHTSA 2015 PDF recovered; cited informedforlife pre-1966 PDF currently 404/no 200 CDX hit.
12-4,12,"Pedestrian deaths, US, 1927-2015",,,,,,,,Kindle cites NHTSA with a stitched source chain: FHWA 2003 for 1927-1984; NCSA 1995 for 1985-1995; NCSA 2006 for 1995-2005; NCSA 2016 for 2005-2014; NCSA 2017 for 2015. Exact source tables were not recovered in this pass.,source_chain_recovered,processed,incomplete,pending,Track D 2026-06-30: Kindle source note captured; source chain clear but exact historical pedestrian tables not recovered.
12-5,12,"Plane crash deaths, 1970-2015",,,,,,,,"Supplemental PDF cites Aviation Safety Network 2017, with passengers from World Bank 2016b. The exact 2017 ASN extraction and World Bank 2016b passenger vintage have not been recovered. This run replaces the prior flight-phase proxy with OWID's processed aviation-fatalities-per-million-passengers indicator, which uses ASN annual airliner fatalities and World Bank passenger counts and documents the same calculation.",partial_match,blocked,not_reviewed,pending,Track D 2026-06-30: source-family reconstruction generated from OWID-hosted ASN 2019 successor data and World Bank passengers; early-1970s visual peak under-matches. | [orchestrator run 20260709T223127-12-5-remediation-ipqb3u: block; prev current_status=partial_match] | [orchestrator run 20260710T114312-12-5-re_review-q7rnep: accept; prev current_status=orchestrator_blocked]
12-6,,"Deaths from falls, fire, drowning, and poison, US, 1903-2014",,,,,,,,,updated_equivalent,processed,not_reviewed,inspected,Strong same-institution category and trajectory match; exact 2016 binary not recovered.
12-7,,"Occupational accident deaths, US, 1913-2015",,,,,,,,,partial_match,processed,not_reviewed,inspected,Mixed sources as warned in book; source-transcribed values are not digitized from chart.
12-8,12,"Natural disaster deaths, 1900-2015",,,,,,,,"Kindle cites Our World in Data, Roser 2016q, based on EM-DAT. Reconstruction uses OWID datasets repository data for global death rates from disasters (EMDAT; UN & HYDE), with current OWID successor data for the post-2015 decadal extension.",updated_equivalent,processed,not_reviewed,pending,Track D 2026-06-30: OWID datasets repo EM-DAT death-rate reconstruction generated; current OWID successor extension added.
12-9,12,"Lightning strike deaths, US, 1900-2015",,,,,,,,"Kindle cites Our World in Data, Roser 2016q, based on NOAA, the lightning-safety fatalities page, and Lopez & Holle 1998. Reconstruction uses OWID's NOAA/Lopez-Holle weather fatality-rate dataset.",verified_reproduction,processed,not_reviewed,pending,Track D 2026-06-30: OWID NOAA/Lopez-Holle fatality-rate dataset visually reproduces Kindle chart; no comparable post-2015 rate extension recovered.
13-1,,"Terrorism deaths, 1970-2015",,,,,,,,,updated_equivalent,processed,not_reviewed,inspected,Public later GTD-derived export; book exclusion rules applied.
14-1,14,"Democracy versus autocracy, 1800-2015",Supplemental Graphics PDF p23 upper,Historical provider average of democracy/autocracy scores; neither sum nor population-weighted global democracy.,"HP2560 July18,2016 World trajectory based on PolityIV2015",https://www.systemicpeace.org/inscr/p4v2015.xls,https://web.archive.org/web/20170427220920id_/http://humanprogress.org/f1/2560,2026-09-10 UTC,High original provider identity; medium exact book agreement; publication incomplete,"HumanProgress, http://humanprogress.org/f1/2560, based on Polity IV Annual Time-Series, 1800-2015, Marshall, Gurr, & Jaggers 2016.",partial_match,processed,incomplete,inspected,216 original HumanProgress World values recovered; broad visual agreement but mid-century deviations remain. Separate Polity IV/5 continuation through2018; isolated US2019/2020 excluded.
14-2,14,"Human rights, 1949-2014",Supplemental Graphics PDF p23 lower,"Human rights protection in four countries and supplied global index, with different regional histories.","OWID dataset241 variable358, uploaded2016-06-21, archived2018-09-13",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RQ85GK,https://web.archive.org/web/20180913134846id_/https://ourworldindata.org/grapher/data/variables/358.json?v=3,2026-09-10 UTC,High original source identity and curve shapes; medium normalization/aggregation explanation; not publication approved,"Our World in Data, Roser 2016i, graphing an index devised by Fariss 2014; protection from torture, extrajudicial killing, political imprisonment, and disappearances.",partial_match,processed,incomplete,inspected,All330 numerical observations recovered from archived OWID variable358 uploaded2016. Close five-curve shape agreement; unexplained World aggregation and apparent vertical-level difference remain. Revised v4.02 country extension through2021 in separate panel.
14-3,14,"Death penalty abolitions, 1863-2016",Supplemental Graphics PDF p24 upper,Historical cumulative abolition counts; original source errors retained and exposed.,Wikipedia chronology revision734519509,https://en.wikipedia.org/w/index.php?oldid=734519509#Abolition_chronology,https://web.archive.org/web/20161012131659id_/https://en.wikipedia.org/wiki/Capital_punishment_by_country,2026-09-10 UTC,High source identity; medium adjusted-figure fidelity; source counting errors unresolved,"""Capital Punishment by Country: Abolition Chronology,"" Wikipedia, retrieved August15,2016. Last abolition in any territory; arrow2008.",partial_match,processed,incomplete,inspected,"Dated2016revision recovered, event-year totals to105. Source count errors and territorial adjustments unresolved. Separate Amnesty2016-2025all-crimes series to113."
14-4,14,"Executions, US, 1780-2016",Supplemental Graphics PDF p24 lower,Long decline in judicial execution rates; recent annual movements shown at enlarged scale.,DPIC/Espy2016archive and modern DPIC1977onward; official Census historical/vintage populations,https://deathpenaltyinfo.org/query/executions.csv,https://web.archive.org/web/20160419133009id_/http://www.deathpenaltyinfo.org/documents/ESPYFile.xls,2026-09-10 UTC,Strong sources/shape; medium exact aggregation confidence; independent approval pending,Death Penalty Information Center2017. Population estimates from U.S. Census Bureau2017. Arrow2010.,partial_match,processed,incomplete,inspected,2016archived Espy file table equals current. Modern1977-2015annual counts equal archive. Decade-average rates closely reproduce original; rule inferred. Same-definition annual extension through2025.
15-1,,"Racist, sexist, and homophobic opinions, US, 1987-2012",,,,,,,,,partial_match,processed,not_reviewed,inspected,Official public topline transcription; no digitized Pinker values; no comparable post-2012 extension.
15-2,,"Racist, sexist, and homophobic Web searches, US, 2004-2017",,,,,,,,,partial_match,processed,not_reviewed,inspected,Current separate exact-term export; low-volume series do not match original early values.
15-3,,"Hate crimes, US, 1996-2015",,,,,,,,,updated_equivalent,processed,not_reviewed,inspected,"Incident counts; official FBI endpoints and successor, ADL compilation for 2000-2011."
15-4,,"Rape and domestic violence, US, 1993-2014",,,,,,,,,verified_reproduction,processed,not_reviewed,inspected,Book-period weighted female NCVS rates match the supplied reference trajectory; current API extension is dashed.
15-5,,"Decriminalization of homosexuality, 1791-2016",,,,,,,,,partial_match,processed,not_reviewed,inspected,Current OWID/Mignot historical successor; cumulative first illegal-to-legal transitions; material mid-century divergence from the book reference.
15-6,15,"Liberal values across time and generations, developed countries, 1980-2005",,The 40-50-year-old cohort tested in 2005 has a higher emancipative-values index than the comparable cohort tested in 1980; the figure plots the cohort trajectories by birth year.,Integrated WVS/EVS respondent data and Welzel emancipative-values index construction; cited replication path includes Welzel 2013 Freedom Rising materials.,https://www.worldvaluessurvey.org/WVSContents.jsp?CMSID=welzelidx,https://search.gesis.org/research_data/ZA7470?doi=10.4232/1.12407,2026-09-10,medium for source chain; low for reconstruction,"Welzel 2013, fig. 4.1. World Values Survey data are from Australia, Canada, France, West Germany, Italy, Japan, the Netherlands, Norway, Sweden, the United Kingdom, and the United States, each country weighted equally.",needs_targeted_source_recovery,blocked,incomplete,pending,"Original reference and exact book source note are available. The WVS public algorithm and dataset catalogue were located, but the required historical integrated cohort-level data were not obtained in this run. Do not digitize the printed curves."
15-7,15,"Liberal values across time (extrapolated), world's culture zones, 1960-2006",,Emancipative values rise across 1960-2006 in ten culture zones under Welzel's fixed-age backward-extrapolation method.,Welzel Figure 4.4 author-supplied update derived from WVS/EVS and the emancipative-values index.,https://www.worldvaluessurvey.org/AJPublications.jsp?CndPUTYPE=3&PUID=131,https://search.gesis.org/research_data/ZA7470?doi=10.4232/1.12407,2026-09-10,medium for source chain; low for reconstruction,"World Values Survey, as analyzed in Welzel 2013, fig. 4.4, updated with data provided by Welzel. Emancipative value estimates use a hypothetical fixed-age sample and a country-specific period effect; countries in each zone are weighted equally.",needs_targeted_source_recovery,blocked,incomplete,pending,"The original reference and detailed source note are available. The official Welzel appendix and GESIS archive lead were located, but the exact author-updated fixed-age culture-zone time series was not obtained. Do not digitize the curves."
15-8,15,"Victimization of children, US, 1993-2012",,"Physical and sexual abuse rates and violent victimization at school declined over the 1993-2012 period, with different denominators for the abuse and school series.",NCANDS annual aggregate rates for physical and sexual abuse plus BJS NCVS school victimization rates.,https://ourworldindata.org/grapher/rate-of-violent-victimizations-at-school-us.csv,https://www.ndacan.acf.hhs.gov/datasets/datasets-list-ncands-state-agency-file.cfm,2026-09-10,medium for school subset; low for full figure,"Physical abuse and sexual abuse (mainly by caregivers): National Child Abuse and Neglect Data System, analyzed by Finkelhor 2014; violent victimization at school: US Bureau of Justice Statistics, National Crime Victimization Survey, Victimization Analysis Tool.",partial_match,processed,incomplete,pending,Public BJS/NCVS school series recovered through OWID and plotted with a transparent unit conversion. Physical and sexual NCANDS series remain missing; the comparison is intentionally a partial match.
15-9,15,"Child labor, 1850-2012",,,,,,,,,not_started,not_started,incomplete,pending,Imported from Kindle List of Figures extraction (List of Figures screen 2); figure page/source not checked.
