Entity,Code,Year,"Homicide rate per 100,000 population - Eisner and WHO Mortality Database"
Corsica and Sardinia,,1862,29.2
Corsica and Sardinia,,1887,14.1
Corsica and Sardinia,,1912,10
Corsica and Sardinia,,1987,2.5
Corsica and Sardinia,,2006,2
England and Wales,,1250,14.7
England and Wales,,1325,21.4
England and Wales,,1375,13
England and Wales,,1575,5.2
England and Wales,,1625,5.8
England and Wales,,1675,3.5
England and Wales,,1725,2
England and Wales,,1775,1.4
England and Wales,,1825,1.6
England and Wales,,1862,1.6
England and Wales,,1887,1.3
England and Wales,,1912,0.8
England and Wales,,1937,0.8
England and Wales,,1962,0.8
England and Wales,,1987,1.3
England and Wales,,2006,1.5
France,FRA,1525,20.2
France,FRA,1575,7.2
France,FRA,1625,13.6
France,FRA,1675,6
France,FRA,1725,2.9
France,FRA,1775,2.3
France,FRA,1825,1.5
France,FRA,1862,1.4
France,FRA,1887,1.4
France,FRA,1912,1.5
France,FRA,1937,1.1
France,FRA,1950,0.76502496
France,FRA,1951,0.7608993
France,FRA,1952,0.5935054
France,FRA,1953,0.64792746
France,FRA,1954,0.58295494
France,FRA,1955,0.69771135
France,FRA,1956,0.7914586
France,FRA,1957,1.90698
France,FRA,1958,2.1902747
France,FRA,1959,1.8810911
France,FRA,1960,1.5672815
France,FRA,1961,2.1857426
France,FRA,1962,1.5319898
France,FRA,1963,0.7570656
France,FRA,1964,0.8196993
France,FRA,1965,0.77526057
France,FRA,1966,0.7037713
France,FRA,1967,0.89811355
France,FRA,1968,0.7392671
France,FRA,1969,0.8387194
France,FRA,1970,0.7366787
France,FRA,1971,0.77270555
France,FRA,1972,0.87035567
France,FRA,1973,0.79991406
France,FRA,1974,0.943008
France,FRA,1975,1.0131905
France,FRA,1976,0.9056293
France,FRA,1977,0.9834713
France,FRA,1978,1.0135782
France,FRA,1979,1.0789201
France,FRA,1980,1.014635
France,FRA,1981,1.01175
France,FRA,1982,1.1361884
France,FRA,1983,1.2516377
France,FRA,1984,1.3158206
France,FRA,1985,1.2579209
France,FRA,1986,1.1860447
France,FRA,1987,1.0839436
France,FRA,1988,0.99850225
France,FRA,1989,1.1217929
France,FRA,1990,1.0822225
France,FRA,1991,1.0954266
France,FRA,1992,1.0126609
France,FRA,1993,1.0805767
France,FRA,1994,1.1209078
France,FRA,1995,1.0732881
France,FRA,1996,1.0192754
France,FRA,1997,0.9401142
France,FRA,1998,0.7408339
France,FRA,1999,0.71474046
France,FRA,2000,0.8540521
France,FRA,2001,0.8261168
France,FRA,2002,0.8076644
France,FRA,2003,0.7513941
France,FRA,2004,0.7684278
France,FRA,2005,0.71316254
France,FRA,2006,0.6737271
France,FRA,2007,0.60358334
France,FRA,2008,0.7110202
France,FRA,2009,0.7601903
France,FRA,2010,0.64354825
France,FRA,2011,0.62634003
France,FRA,2012,0.6265834
France,FRA,2013,0.6192992
France,FRA,2014,0.44441336
France,FRA,2015,0.46700552
France,FRA,2016,0.426798
France,FRA,2017,0.38211924
France,FRA,2018,0.6079691
France,FRA,2019,0.63565445
France,FRA,2020,0.6511064
France,FRA,2021,0.73670816
France,FRA,2022,0.7246608
Germany,DEU,1250,39.4
Germany,DEU,1325,26.8
Germany,DEU,1375,30.1
Germany,DEU,1425,6.6
Germany,DEU,1475,18.6
Germany,DEU,1575,9
Germany,DEU,1625,10.1
Germany,DEU,1675,3.1
Germany,DEU,1725,5
Germany,DEU,1775,4.6
Germany,DEU,1825,2.4
Germany,DEU,1862,1.5
Germany,DEU,1887,1.6
Germany,DEU,1912,2.1
Germany,DEU,1937,1.8
Germany,DEU,1962,1.1
Germany,DEU,1987,1.1
Germany,DEU,1990,1.0080074
Germany,DEU,1991,1.1452247
Germany,DEU,1992,1.1774997
Germany,DEU,1993,1.18996
Germany,DEU,1994,1.1716735
Germany,DEU,1995,1.1339562
Germany,DEU,1996,1.0806428
Germany,DEU,1997,0.9164953
Germany,DEU,1998,0.86432844
Germany,DEU,1999,0.87712246
Germany,DEU,2000,0.7336872
Germany,DEU,2001,0.6886101
Germany,DEU,2002,0.73349065
Germany,DEU,2003,0.67135096
Germany,DEU,2004,0.6399901
Germany,DEU,2005,0.550541
Germany,DEU,2006,0.58762246
Germany,DEU,2007,0.54945964
Germany,DEU,2008,0.5406737
Germany,DEU,2009,0.53862745
Germany,DEU,2010,0.5895486
Germany,DEU,2011,0.52825165
Germany,DEU,2012,0.49684224
Germany,DEU,2013,0.49351728
Germany,DEU,2014,0.45688882
Germany,DEU,2015,0.5312988
Germany,DEU,2016,0.45780945
Germany,DEU,2017,0.43553478
Germany,DEU,2018,0.40769172
Germany,DEU,2019,0.39233166
Germany,DEU,2020,0.44612327
Ireland,IRL,1725,5.9
Ireland,IRL,1775,4.2
Ireland,IRL,1825,2.3
Ireland,IRL,1862,1.7
Ireland,IRL,1887,1.9
Ireland,IRL,1912,1.2
Ireland,IRL,1937,0.4
Ireland,IRL,1950,0.3704951
Ireland,IRL,1951,0.23643856
Ireland,IRL,1952,0.27091095
Ireland,IRL,1953,0.4408274
Ireland,IRL,1954,0.30601835
Ireland,IRL,1955,0.23964396
Ireland,IRL,1956,0.06900835
Ireland,IRL,1957,0.20797227
Ireland,IRL,1958,0.2804066
Ireland,IRL,1959,0.35137033
Ireland,IRL,1960,0.1059322
Ireland,IRL,1961,0.17741191
Ireland,IRL,1962,0.3533569
Ireland,IRL,1963,0.21052632
Ireland,IRL,1964,0.5586592
Ireland,IRL,1965,0.27816412
Ireland,IRL,1966,0.41608876
Ireland,IRL,1967,0.44849238
Ireland,IRL,1968,0.34365442
Ireland,IRL,1969,0.27391633
Ireland,IRL,1970,0.37359053
Ireland,IRL,1971,0.50364304
Ireland,IRL,1972,0.696841
Ireland,IRL,1973,0.36053753
Ireland,IRL,1974,0.71208936
Ireland,IRL,1975,0.95926327
Ireland,IRL,1976,0.34079996
Ireland,IRL,1977,0.8557719
Ireland,IRL,1978,0.72420037
Ireland,IRL,1979,0.860994
Ireland,IRL,1980,0.6762717
Ireland,IRL,1981,2.0038335
Ireland,IRL,1982,0.63163936
Ireland,IRL,1983,0.76966935
Ireland,IRL,1984,0.56673276
Ireland,IRL,1985,0.6497175
Ireland,IRL,1986,0.8190471
Ireland,IRL,1987,1.1290185
Ireland,IRL,1988,0.8196721
Ireland,IRL,1989,0.6258534
Ireland,IRL,1990,0.6280869
Ireland,IRL,1991,0.5956264
Ireland,IRL,1992,0.78802204
Ireland,IRL,1993,0.64395106
Ireland,IRL,1994,0.697175
Ireland,IRL,1995,0.7497293
Ireland,IRL,1996,0.9100687
Ireland,IRL,1997,0.81870735
Ireland,IRL,1998,1.1071858
Ireland,IRL,1999,0.98886937
Ireland,IRL,2000,1.0027612
Ireland,IRL,2001,1.0397178
Ireland,IRL,2002,1.097722
Ireland,IRL,2003,0.90478134
Ireland,IRL,2004,0.5935066
Ireland,IRL,2005,0.919936
Ireland,IRL,2006,0.9906058
Ireland,IRL,2007,1.1292857
Ireland,IRL,2008,0.9271661
Ireland,IRL,2009,1.0988259
Ireland,IRL,2010,0.83437246
Ireland,IRL,2011,0.6120368
Ireland,IRL,2012,0.8941409
Ireland,IRL,2013,0.5660634
Ireland,IRL,2014,0.6916161
Ireland,IRL,2015,0.44797257
Ireland,IRL,2016,0.48527333
Ireland,IRL,2017,0.41572306
Ireland,IRL,2018,0.4529531
Ireland,IRL,2019,0.2621776
Ireland,IRL,2020,0.15904967
Ireland,IRL,2021,0.11823434
Ireland,IRL,2022,0.13503174
Italy,ITA,1250,22.4
Italy,ITA,1375,71.7
Italy,ITA,1425,62
Italy,ITA,1575,38.7
Italy,ITA,1625,39.1
Italy,ITA,1675,10.2
Italy,ITA,1725,16.9
Italy,ITA,1775,7.1
Italy,ITA,1825,8
Italy,ITA,1862,7
Italy,ITA,1887,5.7
Italy,ITA,1912,3.9
Italy,ITA,1937,2
Italy,ITA,1951,1.4744762
Italy,ITA,1952,1.4475635
Italy,ITA,1953,1.3637302
Italy,ITA,1954,1.3789163
Italy,ITA,1955,1.468145
Italy,ITA,1956,1.539232
Italy,ITA,1957,1.3765422
Italy,ITA,1958,1.3602803
Italy,ITA,1959,1.2341591
Italy,ITA,1960,1.3088275
Italy,ITA,1961,1.138091
Italy,ITA,1962,0.98341566
Italy,ITA,1963,0.95315665
Italy,ITA,1964,0.8759656
Italy,ITA,1965,0.8848349
Italy,ITA,1966,0.8102179
Italy,ITA,1967,0.9170828
Italy,ITA,1968,0.8889023
Italy,ITA,1969,0.84025735
Italy,ITA,1970,0.82555145
Italy,ITA,1971,1.0017666
Italy,ITA,1972,1.0567639
Italy,ITA,1973,1.1565771
Italy,ITA,1974,1.1279002
Italy,ITA,1975,1.2753046
Italy,ITA,1976,1.3726579
Italy,ITA,1977,1.420437
Italy,ITA,1978,1.4334984
Italy,ITA,1979,1.5813388
Italy,ITA,1980,1.8696436
Italy,ITA,1981,1.9022442
Italy,ITA,1982,2.0798206
Italy,ITA,1983,1.928362
Italy,ITA,1984,1.6402099
Italy,ITA,1985,1.471785
Italy,ITA,1986,1.2594678
Italy,ITA,1987,1.618281
Italy,ITA,1988,1.8624275
Italy,ITA,1989,2.2366815
Italy,ITA,1990,2.6482234
Italy,ITA,1991,2.841837
Italy,ITA,1992,2.2457888
Italy,ITA,1993,1.7352663
Italy,ITA,1994,1.5886031
Italy,ITA,1995,1.5146608
Italy,ITA,1996,1.4671682
Italy,ITA,1997,1.2659037
Italy,ITA,1998,1.2863685
Italy,ITA,1999,1.2388175
Italy,ITA,2000,1.052289
Italy,ITA,2001,0.96733373
Italy,ITA,2002,0.9797505
Italy,ITA,2003,1.124909
Italy,ITA,2004,1.0730631
Italy,ITA,2005,0.9280745
Italy,ITA,2006,0.90428644
Italy,ITA,2007,0.9431533
Italy,ITA,2008,0.85572684
Italy,ITA,2009,0.8489402
Italy,ITA,2010,0.77045953
Italy,ITA,2011,0.76289004
Italy,ITA,2012,0.77931166
Italy,ITA,2013,0.7022618
Italy,ITA,2014,0.6234666
Italy,ITA,2015,0.65041363
Italy,ITA,2016,0.60038763
Italy,ITA,2017,0.55338323
Italy,ITA,2018,0.5227364
Italy,ITA,2019,0.42901233
Italy,ITA,2020,0.38022262
Italy,ITA,2021,0.44475883
Italy,ITA,2022,0.41484982
Netherlands,NLD,1375,20.7
Netherlands,NLD,1425,59.1
Netherlands,NLD,1525,35.9
Netherlands,NLD,1575,8.9
Netherlands,NLD,1625,7.6
Netherlands,NLD,1675,3.1
Netherlands,NLD,1725,3.4
Netherlands,NLD,1775,1.9
Netherlands,NLD,1862,0.8
Netherlands,NLD,1887,0.9
Netherlands,NLD,1912,0.6
Netherlands,NLD,1937,0.8
Netherlands,NLD,1950,0.40539873
Netherlands,NLD,1951,0.3702152
Netherlands,NLD,1952,0.346754
Netherlands,NLD,1953,0.2954294
Netherlands,NLD,1954,0.2731906
Netherlands,NLD,1955,0.27904642
Netherlands,NLD,1956,0.16529836
Netherlands,NLD,1957,0.32648915
Netherlands,NLD,1958,0.32180497
Netherlands,NLD,1959,0.33487257
Netherlands,NLD,1960,0.30470288
Netherlands,NLD,1961,0.36086506
Netherlands,NLD,1962,0.23717357
Netherlands,NLD,1963,0.37606552
Netherlands,NLD,1964,0.38755855
Netherlands,NLD,1965,0.33347702
Netherlands,NLD,1966,0.40943137
Netherlands,NLD,1967,0.4365703
Netherlands,NLD,1968,0.4006379
Netherlands,NLD,1969,0.5202671
Netherlands,NLD,1970,0.4985236
Netherlands,NLD,1971,0.5608397
Netherlands,NLD,1972,0.54019177
Netherlands,NLD,1973,0.60270995
Netherlands,NLD,1974,0.80471903
Netherlands,NLD,1975,0.70246303
Netherlands,NLD,1976,0.8131262
Netherlands,NLD,1977,0.8660383
Netherlands,NLD,1978,0.8033454
Netherlands,NLD,1979,0.85480434
Netherlands,NLD,1980,0.7844634
Netherlands,NLD,1981,0.8141951
Netherlands,NLD,1982,0.845403
Netherlands,NLD,1983,0.93964684
Netherlands,NLD,1984,0.9497927
Netherlands,NLD,1985,0.8694632
Netherlands,NLD,1986,1.0362196
Netherlands,NLD,1987,0.9273718
Netherlands,NLD,1988,0.8875279
Netherlands,NLD,1989,0.98997897
Netherlands,NLD,1990,0.9029194
Netherlands,NLD,1991,1.17455
Netherlands,NLD,1992,1.2710664
Netherlands,NLD,1993,1.2556899
Netherlands,NLD,1994,1.1116312
Netherlands,NLD,1995,1.2484636
Netherlands,NLD,1996,1.3650559
Netherlands,NLD,1997,1.332428
Netherlands,NLD,1998,1.1205052
Netherlands,NLD,1999,1.2964755
Netherlands,NLD,2000,1.1428204
Netherlands,NLD,2001,1.2588665
Netherlands,NLD,2002,1.2075105
Netherlands,NLD,2003,1.2511322
Netherlands,NLD,2004,1.1853741
Netherlands,NLD,2005,1.0784307
Netherlands,NLD,2006,0.78917223
Netherlands,NLD,2007,0.87292546
Netherlands,NLD,2008,0.91817904
Netherlands,NLD,2009,0.9437165
Netherlands,NLD,2010,0.89675874
Netherlands,NLD,2011,0.87461424
Netherlands,NLD,2012,0.87138367
Netherlands,NLD,2013,0.7498022
Netherlands,NLD,2014,0.7293207
Netherlands,NLD,2015,0.61983746
Netherlands,NLD,2016,0.56957257
Netherlands,NLD,2017,0.7704206
Netherlands,NLD,2018,0.577487
Netherlands,NLD,2019,0.62424266
Netherlands,NLD,2020,0.61671716
Netherlands,NLD,2021,0.64999336
Netherlands,NLD,2022,0.7120589
Netherlands,NLD,2023,0.58739465
Spain,ESP,1375,32.3
Spain,ESP,1525,12.6
Spain,ESP,1575,7.9
Spain,ESP,1625,4.7
Spain,ESP,1675,8.6
Spain,ESP,1725,5.9
Spain,ESP,1775,4.2
Spain,ESP,1825,8.8
Spain,ESP,1862,8.3
Spain,ESP,1887,5.5
Spain,ESP,1912,4.5
Spain,ESP,1937,1.4
Spain,ESP,1951,0.49101582
Spain,ESP,1952,0.4339849
Spain,ESP,1953,0.31840447
Spain,ESP,1954,0.3435472
Spain,ESP,1955,0.3097467
Spain,ESP,1956,0.4436103
Spain,ESP,1957,0.50754553
Spain,ESP,1958,0.51337117
Spain,ESP,1959,0.44256622
Spain,ESP,1960,0.27720028
Spain,ESP,1961,0.18305439
Spain,ESP,1962,0.10026846
Spain,ESP,1963,0.13417673
Spain,ESP,1964,0.06328113
Spain,ESP,1965,0.1377238
Spain,ESP,1966,0.16735883
Spain,ESP,1967,0.11964952
Spain,ESP,1968,0.10017698
Spain,ESP,1969,0.24931139
Spain,ESP,1970,0.6315712
Spain,ESP,1971,0.24311659
Spain,ESP,1972,0.30269426
Spain,ESP,1973,0.29760185
Spain,ESP,1974,0.35315093
Spain,ESP,1975,0.63887787
Spain,ESP,1976,0.52035505
Spain,ESP,1977,0.6599317
Spain,ESP,1978,0.91904014
Spain,ESP,1979,1.0590794
Spain,ESP,1980,0.99622285
Spain,ESP,1981,0.8503131
Spain,ESP,1982,0.8087183
Spain,ESP,1983,1.0216886
Spain,ESP,1984,1.1814781
Spain,ESP,1985,1.0518169
Spain,ESP,1986,1.054295
Spain,ESP,1987,1.1803783
Spain,ESP,1988,0.89927596
Spain,ESP,1989,0.87687266
Spain,ESP,1990,0.97794616
Spain,ESP,1991,0.8866134
Spain,ESP,1992,0.88961357
Spain,ESP,1993,0.95430344
Spain,ESP,1994,0.9016718
Spain,ESP,1995,0.90028745
Spain,ESP,1996,0.8734336
Spain,ESP,1997,0.86971337
Spain,ESP,1998,0.90167433
Spain,ESP,1999,0.8756843
Spain,ESP,2000,1.0230623
Spain,ESP,2001,1.0291928
Spain,ESP,2002,1.0480704
Spain,ESP,2003,1.0617892
Spain,ESP,2004,1.3702881
Spain,ESP,2005,0.89635074
Spain,ESP,2006,0.85322213
Spain,ESP,2007,0.7777407
Spain,ESP,2008,0.82906765
Spain,ESP,2009,0.7337336
Spain,ESP,2010,0.7140868
Spain,ESP,2011,0.72628486
Spain,ESP,2012,0.64790106
Spain,ESP,2013,0.6760638
Spain,ESP,2014,0.68237895
Spain,ESP,2015,0.61408985
Spain,ESP,2016,0.6070987
Spain,ESP,2017,0.698431
Spain,ESP,2018,0.58850193
Spain,ESP,2019,0.619887
Spain,ESP,2020,0.61449856
Spain,ESP,2021,0.59791297
Spain,ESP,2022,0.63826156
Spain,ESP,2023,0.6535334
Sweden,SWE,1775,1.1
Sweden,SWE,1825,1.6
Sweden,SWE,1862,1.7
Sweden,SWE,1887,1.6
Sweden,SWE,1912,1.3
Sweden,SWE,1937,0.8
Sweden,SWE,1951,0.60817784
Sweden,SWE,1952,0.67371255
Sweden,SWE,1953,0.6553811
Sweden,SWE,1954,0.7763222
Sweden,SWE,1955,0.6609385
Sweden,SWE,1956,0.8885001
Sweden,SWE,1957,0.7329985
Sweden,SWE,1958,0.68777645
Sweden,SWE,1959,0.6976401
Sweden,SWE,1960,0.6015721
Sweden,SWE,1961,0.51857567
Sweden,SWE,1962,0.5157707
Sweden,SWE,1963,0.8284677
Sweden,SWE,1964,0.80925155
Sweden,SWE,1965,0.72408485
Sweden,SWE,1966,0.8325008
Sweden,SWE,1967,0.889691
Sweden,SWE,1968,0.68249035
Sweden,SWE,1969,0.8910643
Sweden,SWE,1970,0.8330432
Sweden,SWE,1971,0.9384686
Sweden,SWE,1972,1.0711251
Sweden,SWE,1973,1.0077672
Sweden,SWE,1974,1.2499081
Sweden,SWE,1975,1.147391
Sweden,SWE,1976,1.2526908
Sweden,SWE,1977,1.1755296
Sweden,SWE,1978,0.99084073
Sweden,SWE,1979,1.3504226
Sweden,SWE,1980,1.1671981
Sweden,SWE,1981,1.4302025
Sweden,SWE,1982,1.2131695
Sweden,SWE,1983,1.2126306
Sweden,SWE,1984,1.1035674
Sweden,SWE,1985,1.2454493
Sweden,SWE,1986,1.4337261
Sweden,SWE,1987,1.1788802
Sweden,SWE,1988,1.3868475
Sweden,SWE,1989,1.4953492
Sweden,SWE,1990,1.2618592
Sweden,SWE,1991,1.4511766
Sweden,SWE,1992,1.3497767
Sweden,SWE,1993,1.2960796
Sweden,SWE,1994,1.2185677
Sweden,SWE,1995,0.9629546
Sweden,SWE,1996,1.2442031
Sweden,SWE,1997,1.0739075
Sweden,SWE,1998,1.1071945
Sweden,SWE,1999,1.2305189
Sweden,SWE,2000,1.0256648
Sweden,SWE,2001,0.96671283
Sweden,SWE,2002,1.154067
Sweden,SWE,2003,0.9153595
Sweden,SWE,2004,1.1119103
Sweden,SWE,2005,0.93027663
Sweden,SWE,2006,0.8699957
Sweden,SWE,2007,1.180574
Sweden,SWE,2008,0.7700953
Sweden,SWE,2009,0.93563324
Sweden,SWE,2010,0.9383538
Sweden,SWE,2011,0.75138533
Sweden,SWE,2012,0.65130323
Sweden,SWE,2013,0.8333005
Sweden,SWE,2014,0.8147598
Sweden,SWE,2015,1.0107147
Sweden,SWE,2016,0.8767435
Sweden,SWE,2017,1.0738044
Sweden,SWE,2018,1.0024359
Sweden,SWE,2019,1.0506974
Sweden,SWE,2020,1.2363038
Sweden,SWE,2021,0.93127656
Sweden,SWE,2022,1.1061376
Sweden,SWE,2023,1.0819397
Sweden and Finland,,1475,38.3
Sweden and Finland,,1525,18.4
Sweden and Finland,,1575,23.3
Sweden and Finland,,1625,22.3
Sweden and Finland,,1675,9
Sweden and Finland,,1725,4.2
Switzerland,CHE,1375,56.8
Switzerland,CHE,1425,13.6
Switzerland,CHE,1475,4
Switzerland,CHE,1575,6.8
Switzerland,CHE,1625,10.4
Switzerland,CHE,1675,5.3
Switzerland,CHE,1725,4.3
Switzerland,CHE,1775,5.1
Switzerland,CHE,1825,4.7
Switzerland,CHE,1862,1.7
Switzerland,CHE,1887,3
Switzerland,CHE,1912,2.1
Switzerland,CHE,1937,1.4
Switzerland,CHE,1951,1.2636634
Switzerland,CHE,1952,1.163854
Switzerland,CHE,1953,1.107556
Switzerland,CHE,1954,1.0529087
Switzerland,CHE,1955,1.1195298
Switzerland,CHE,1956,0.65145296
Switzerland,CHE,1957,0.7602191
Switzerland,CHE,1958,0.65428656
Switzerland,CHE,1959,0.91206205
Switzerland,CHE,1960,0.5818427
Switzerland,CHE,1961,0.71765053
Switzerland,CHE,1962,1.0226417
Switzerland,CHE,1963,0.667334
Switzerland,CHE,1964,0.7773095
Switzerland,CHE,1965,0.5805515
Switzerland,CHE,1966,0.6589953
Switzerland,CHE,1967,0.81777066
Switzerland,CHE,1968,0.7416197
Switzerland,CHE,1969,0.53777456
Switzerland,CHE,1970,0.7111916
Switzerland,CHE,1971,0.96285003
Switzerland,CHE,1972,0.9234051
Switzerland,CHE,1973,0.67959476
Switzerland,CHE,1974,0.95940614
Switzerland,CHE,1975,0.9450456
Switzerland,CHE,1976,0.887649
Switzerland,CHE,1977,0.858724
Switzerland,CHE,1978,0.7312847
Switzerland,CHE,1979,0.9202259
Switzerland,CHE,1980,0.9483617
Switzerland,CHE,1981,1.1943864
Switzerland,CHE,1982,1.3585895
Switzerland,CHE,1983,1.4021312
Switzerland,CHE,1984,0.9314022
Switzerland,CHE,1985,1.4373368
Switzerland,CHE,1986,0.9839947
Switzerland,CHE,1987,1.2070098
Switzerland,CHE,1988,1.2133346
Switzerland,CHE,1989,1.2787917
Switzerland,CHE,1990,1.4749262
Switzerland,CHE,1991,1.3691975
Switzerland,CHE,1992,1.4690055
Switzerland,CHE,1993,1.5998155
Switzerland,CHE,1994,1.3440475
Switzerland,CHE,1995,0.96581304
Switzerland,CHE,1996,1.0888317
Switzerland,CHE,1997,1.4106561
Switzerland,CHE,1998,0.82727045
Switzerland,CHE,1999,0.9906878
Switzerland,CHE,2000,0.79067373
Switzerland,CHE,2001,1.1294239
Switzerland,CHE,2002,1.0254513
Switzerland,CHE,2003,0.6812915
Switzerland,CHE,2004,0.9066765
Switzerland,CHE,2005,0.8605486
Switzerland,CHE,2006,0.57456404
Switzerland,CHE,2007,0.5959383
Switzerland,CHE,2008,0.5622623
Switzerland,CHE,2009,0.7102427
Switzerland,CHE,2010,0.4984083
Switzerland,CHE,2011,0.5434509
Switzerland,CHE,2012,0.51270115
Switzerland,CHE,2013,0.5562873
Switzerland,CHE,2014,0.41433087
Switzerland,CHE,2015,0.5674686
Switzerland,CHE,2016,0.3821654
Switzerland,CHE,2017,0.36678398
Switzerland,CHE,2018,0.45805135
Switzerland,CHE,2019,0.38482708
Switzerland,CHE,2020,0.50839883
Switzerland,CHE,2021,0.39010984
Switzerland,CHE,2022,0.38752457
Switzerland,CHE,2023,0.4756747
