Entity,Year,Daily caloric supply (OWID based on UN FAO & historical sources)
United States,2001,3707.0
United States,2002,3783.0
United States,2003,3777.0
United States,2004,3809.0
United States,2005,3828.0
United States,2006,3783.0
United States,2007,3757.0
United States,2008,3700.0
United States,2009,3645.0
United States,2010,3650.0
United States,2011,3649.0
United States,2012,3687.0
United States,2013,3682.0
World,1961,1889.579603
World,1962,1930.68168
World,1963,1938.911108
World,1964,1972.548812
World,1965,1998.284814
World,1966,2016.906394
World,1967,2019.423464
World,1968,2022.461135
World,1969,2033.157071
World,1970,2076.225165
World,1971,2058.366371
World,1972,2052.607986
World,1973,2088.851811
World,1974,2080.505941
World,1975,2099.22148
World,1976,2088.622455
World,1977,2121.170097
World,1978,2179.747888
World,1979,2179.296962
World,1980,2190.883741
World,1981,2207.611517
World,1982,2238.433422
World,1983,2282.431009
World,1984,2295.699611
World,1985,2300.382652
World,1986,2303.771582
World,1987,2321.836643
World,1988,2339.145062
World,1989,2355.67257
World,1990,2340.711711
World,1991,2343.92477
World,1992,2524.743483
World,1993,2552.506551
World,1994,2575.106541
World,1995,2597.858156
World,1996,2607.18679
World,1997,2619.48743
World,1998,2633.599233
World,1999,2646.597159
World,2000,2661.95348
World,2001,2658.356832
World,2002,2660.206527
World,2003,2665.750017
World,2004,2676.515047
World,2005,2689.320853
World,2006,2709.427996
World,2007,2735.537142
World,2008,2752.081391
World,2009,2750.590309
World,2010,2773.667234
World,2011,2791.528285
World,2012,2807.326354
World,2013,2816.384714
