Entity,Code,Year,public_social_expenditure_pct_gdp
Greece,GRC,2023,23.722
Greece,GRC,2024,23.744
Italy,ITA,1880,0.0
Italy,ITA,1890,0.0
Italy,ITA,1900,0.0
Italy,ITA,1910,0.0
Italy,ITA,1920,0.0
Italy,ITA,1930,0.08
Italy,ITA,1960,10.657316
Italy,ITA,1961,10.440164
Italy,ITA,1962,11.259757
Italy,ITA,1963,11.5992565
Italy,ITA,1964,11.668096
Italy,ITA,1965,13.152736
Italy,ITA,1966,13.285215
Italy,ITA,1967,13.181349
Italy,ITA,1968,13.477617
Italy,ITA,1969,13.835304
Italy,ITA,1970,13.801229
Italy,ITA,1971,14.759734
Italy,ITA,1972,15.80133
Italy,ITA,1973,15.557403
Italy,ITA,1974,15.7307005
Italy,ITA,1975,17.116892
Italy,ITA,1976,17.160154
Italy,ITA,1977,16.547024
Italy,ITA,1978,17.908726
Italy,ITA,1979,17.269865
Italy,ITA,1980,17.282
Italy,ITA,1981,18.623
Italy,ITA,1982,19.085
Italy,ITA,1983,20.104
Italy,ITA,1984,19.679
Italy,ITA,1985,20.001
Italy,ITA,1986,20.0
Italy,ITA,1987,20.218
Italy,ITA,1988,20.076
Italy,ITA,1989,20.238
Italy,ITA,1990,20.588
Italy,ITA,1991,20.958
Italy,ITA,1992,21.683
Italy,ITA,1993,21.949
Italy,ITA,1994,21.931
Italy,ITA,1995,21.007
Italy,ITA,1996,21.427
Italy,ITA,1997,22.097
Italy,ITA,1998,22.25
Italy,ITA,1999,22.674
Italy,ITA,2000,22.551
Italy,ITA,2001,22.722
Italy,ITA,2002,23.139
Italy,ITA,2003,23.482
Italy,ITA,2004,23.739
Italy,ITA,2005,23.968
Italy,ITA,2006,24.065
Italy,ITA,2007,23.901
Italy,ITA,2008,24.842
Italy,ITA,2009,26.836
Italy,ITA,2010,26.827
Italy,ITA,2011,26.43
Italy,ITA,2012,27.121
Italy,ITA,2013,27.733
Italy,ITA,2014,27.985
Italy,ITA,2015,28.188
Italy,ITA,2016,27.779
Italy,ITA,2017,27.528
Italy,ITA,2018,27.417
Italy,ITA,2019,27.619
Italy,ITA,2020,32.495
Italy,ITA,2021,29.834
Italy,ITA,2022,28.245
Italy,ITA,2023,27.521
Italy,ITA,2024,27.569
Japan,JPN,1880,0.05
Japan,JPN,1890,0.11
Japan,JPN,1900,0.17
Japan,JPN,1910,0.18
Japan,JPN,1920,0.18
Japan,JPN,1930,0.21
Japan,JPN,1960,3.327155
Japan,JPN,1961,3.7628338
Japan,JPN,1962,4.0174747
Japan,JPN,1963,4.1905417
Japan,JPN,1964,4.2379403
Japan,JPN,1965,4.5267024
Japan,JPN,1966,4.5794
Japan,JPN,1967,4.6308193
Japan,JPN,1968,4.5706687
Japan,JPN,1969,4.4774094
Japan,JPN,1970,4.706678
Japan,JPN,1971,4.920253
Japan,JPN,1972,5.317922
Japan,JPN,1973,5.49207
Japan,JPN,1974,6.6492877
Japan,JPN,1975,7.6613207
Japan,JPN,1976,8.255052
Japan,JPN,1977,8.576309
Japan,JPN,1978,9.225517
Japan,JPN,1979,9.522368
Japan,JPN,1980,9.82
Japan,JPN,1981,10.248
Japan,JPN,1982,10.569
Japan,JPN,1983,10.795
Japan,JPN,1984,10.664
Japan,JPN,1985,10.637
Japan,JPN,1986,10.965
Japan,JPN,1987,11.025
Japan,JPN,1988,10.736
Japan,JPN,1989,10.594
Japan,JPN,1990,10.45
Japan,JPN,1991,10.579
Japan,JPN,1992,11.185
Japan,JPN,1993,11.876
Japan,JPN,1994,12.383
Japan,JPN,1995,12.745
Japan,JPN,1996,12.721
Japan,JPN,1997,13.147
Japan,JPN,1998,13.86
Japan,JPN,1999,14.726
Japan,JPN,2000,14.916
Japan,JPN,2001,15.764
Japan,JPN,2002,16.106
Japan,JPN,2003,16.285
Japan,JPN,2004,16.49
Japan,JPN,2005,16.886
Japan,JPN,2006,17.011
Japan,JPN,2007,17.431
Japan,JPN,2008,18.445
Japan,JPN,2009,20.632
Japan,JPN,2010,20.981
Japan,JPN,2011,21.826
Japan,JPN,2012,21.773
Japan,JPN,2013,21.769
Japan,JPN,2014,21.539
Japan,JPN,2015,21.914
Japan,JPN,2016,21.965
Japan,JPN,2017,22.071
Japan,JPN,2018,22.191
Japan,JPN,2019,22.766
Japan,JPN,2020,24.762
Japan,JPN,2021,25.448
Japan,JPN,2022,24.736
Netherlands,NLD,1880,0.29
Netherlands,NLD,1890,0.3
Netherlands,NLD,1900,0.39
Netherlands,NLD,1910,0.39
Netherlands,NLD,1920,0.99
Netherlands,NLD,1930,1.03
Netherlands,NLD,1960,10.054087
Netherlands,NLD,1961,10.89533
Netherlands,NLD,1962,11.643043
Netherlands,NLD,1963,13.420596
Netherlands,NLD,1964,13.53556
Netherlands,NLD,1965,14.70757
Netherlands,NLD,1966,15.928273
Netherlands,NLD,1967,16.989826
Netherlands,NLD,1968,17.601143
Netherlands,NLD,1969,18.47689
Netherlands,NLD,1970,19.290518
Netherlands,NLD,1971,20.081476
Netherlands,NLD,1972,20.900835
Netherlands,NLD,1973,21.513796
Netherlands,NLD,1974,22.947046
Netherlands,NLD,1975,25.398127
Netherlands,NLD,1976,25.439497
Netherlands,NLD,1977,21.95076
Netherlands,NLD,1978,22.861532
Netherlands,NLD,1979,23.610466
Netherlands,NLD,1980,24.351
Netherlands,NLD,1981,25.01
Netherlands,NLD,1982,26.638
Netherlands,NLD,1983,27.021
Netherlands,NLD,1984,25.683
Netherlands,NLD,1985,25.079
Netherlands,NLD,1986,24.656
Netherlands,NLD,1987,24.722
Netherlands,NLD,1988,24.404
Netherlands,NLD,1989,24.037
Netherlands,NLD,1990,25.448
Netherlands,NLD,1991,25.374
Netherlands,NLD,1992,25.852
Netherlands,NLD,1993,25.997
Netherlands,NLD,1994,24.55
Netherlands,NLD,1995,22.487
Netherlands,NLD,1996,21.489
Netherlands,NLD,1997,20.884
Netherlands,NLD,1998,20.987
Netherlands,NLD,1999,20.274
Netherlands,NLD,2000,19.669
Netherlands,NLD,2001,19.773
Netherlands,NLD,2002,20.515
Netherlands,NLD,2003,21.155
Netherlands,NLD,2004,20.94
Netherlands,NLD,2005,20.507
Netherlands,NLD,2006,17.206
Netherlands,NLD,2007,16.527
Netherlands,NLD,2008,16.256
Netherlands,NLD,2009,17.846
Netherlands,NLD,2010,18.317
Netherlands,NLD,2011,18.419
Netherlands,NLD,2012,18.897
Netherlands,NLD,2013,19.141
Netherlands,NLD,2014,19.03
Netherlands,NLD,2015,18.602
Netherlands,NLD,2016,18.443
Netherlands,NLD,2017,17.939
Netherlands,NLD,2018,17.586
Netherlands,NLD,2019,17.519
Netherlands,NLD,2020,21.178
Netherlands,NLD,2021,19.753
Netherlands,NLD,2022,17.709
Netherlands,NLD,2023,18.384
Netherlands,NLD,2024,18.873
Sweden,SWE,1880,0.72
Sweden,SWE,1890,0.85
Sweden,SWE,1900,0.85
Sweden,SWE,1910,1.03
Sweden,SWE,1920,1.14
Sweden,SWE,1930,2.59
Sweden,SWE,1960,10.238923
Sweden,SWE,1961,10.186232
Sweden,SWE,1962,10.506162
Sweden,SWE,1963,11.721919
Sweden,SWE,1964,11.821628
Sweden,SWE,1965,12.462501
Sweden,SWE,1966,13.285867
Sweden,SWE,1967,14.394272
Sweden,SWE,1968,15.4458275
Sweden,SWE,1969,15.609298
Sweden,SWE,1970,15.849526
Sweden,SWE,1971,17.36696
Sweden,SWE,1972,17.38211
Sweden,SWE,1973,17.404001
Sweden,SWE,1974,19.909065
Sweden,SWE,1975,20.008512
Sweden,SWE,1976,20.934875
Sweden,SWE,1977,23.162857
Sweden,SWE,1978,23.827518
Sweden,SWE,1979,23.774374
Sweden,SWE,1980,24.529
Sweden,SWE,1981,25.228
Sweden,SWE,1982,25.162
Sweden,SWE,1983,25.458
Sweden,SWE,1984,24.688
Sweden,SWE,1985,26.625
Sweden,SWE,1986,26.747
Sweden,SWE,1987,26.968
Sweden,SWE,1988,27.416
Sweden,SWE,1989,26.843
Sweden,SWE,1990,26.892
Sweden,SWE,1991,28.702
Sweden,SWE,1992,32.252
Sweden,SWE,1993,34.414
Sweden,SWE,1994,33.2
Sweden,SWE,1995,30.836
Sweden,SWE,1996,30.365
Sweden,SWE,1997,29.071
Sweden,SWE,1998,28.835
Sweden,SWE,1999,28.279
Sweden,SWE,2000,26.986
Sweden,SWE,2001,27.136
Sweden,SWE,2002,27.731
Sweden,SWE,2003,28.486
Sweden,SWE,2004,27.99
Sweden,SWE,2005,27.673
Sweden,SWE,2006,26.966
Sweden,SWE,2007,25.921
Sweden,SWE,2008,26.203
Sweden,SWE,2009,28.16
Sweden,SWE,2010,26.81
Sweden,SWE,2011,26.38
Sweden,SWE,2012,27.438
Sweden,SWE,2013,28.142
Sweden,SWE,2014,27.857
Sweden,SWE,2015,27.417
Sweden,SWE,2016,27.669
Sweden,SWE,2017,27.234
Sweden,SWE,2018,26.997
Sweden,SWE,2019,26.324
Sweden,SWE,2020,27.945
Sweden,SWE,2021,26.321
Sweden,SWE,2022,25.272
Sweden,SWE,2023,25.761
Sweden,SWE,2024,26.086
United Kingdom,GBR,1880,0.86
United Kingdom,GBR,1890,0.83
United Kingdom,GBR,1900,1.0
United Kingdom,GBR,1910,1.38
United Kingdom,GBR,1920,1.39
United Kingdom,GBR,1930,2.24
United Kingdom,GBR,1960,10.491441
United Kingdom,GBR,1961,10.753797
United Kingdom,GBR,1962,10.958211
United Kingdom,GBR,1963,11.49145
United Kingdom,GBR,1964,11.2993765
United Kingdom,GBR,1965,11.976261
United Kingdom,GBR,1966,12.208261
United Kingdom,GBR,1967,12.895713
United Kingdom,GBR,1968,13.396644
United Kingdom,GBR,1969,13.390328
United Kingdom,GBR,1970,13.558754
United Kingdom,GBR,1971,13.424457
United Kingdom,GBR,1972,14.260652
United Kingdom,GBR,1973,13.84068
United Kingdom,GBR,1974,15.323655
United Kingdom,GBR,1975,16.054113
United Kingdom,GBR,1976,16.63472
United Kingdom,GBR,1977,16.575602
United Kingdom,GBR,1978,16.909748
United Kingdom,GBR,1979,16.822386
United Kingdom,GBR,1980,16.867
United Kingdom,GBR,1981,18.312
United Kingdom,GBR,1982,18.823
United Kingdom,GBR,1983,19.606
United Kingdom,GBR,1984,19.576
United Kingdom,GBR,1985,19.609
United Kingdom,GBR,1986,19.614
United Kingdom,GBR,1987,18.79
United Kingdom,GBR,1988,17.473
United Kingdom,GBR,1989,16.841
United Kingdom,GBR,1990,17.248
United Kingdom,GBR,1991,18.879
United Kingdom,GBR,1992,20.486
United Kingdom,GBR,1993,21.063
United Kingdom,GBR,1994,20.308
United Kingdom,GBR,1995,18.954
United Kingdom,GBR,1996,18.767
United Kingdom,GBR,1997,18.927
United Kingdom,GBR,1998,19.13
United Kingdom,GBR,1999,18.908
United Kingdom,GBR,2000,19.258
United Kingdom,GBR,2001,19.791
United Kingdom,GBR,2002,19.843
United Kingdom,GBR,2003,20.675
United Kingdom,GBR,2004,21.21
United Kingdom,GBR,2005,21.261
United Kingdom,GBR,2006,21.265
United Kingdom,GBR,2007,21.473
United Kingdom,GBR,2008,22.791
United Kingdom,GBR,2009,25.094
United Kingdom,GBR,2010,25.234
United Kingdom,GBR,2011,25.076
United Kingdom,GBR,2012,25.279
United Kingdom,GBR,2013,24.583
United Kingdom,GBR,2014,24.024
United Kingdom,GBR,2015,23.698
United Kingdom,GBR,2016,22.9
United Kingdom,GBR,2017,22.647
United Kingdom,GBR,2018,22.223
United Kingdom,GBR,2019,22.252
United Kingdom,GBR,2020,25.609
United Kingdom,GBR,2021,24.404
United Kingdom,GBR,2022,22.747
United Kingdom,GBR,2023,22.985
United States,USA,1880,0.29
United States,USA,1890,0.45
United States,USA,1900,0.55
United States,USA,1910,0.56
United States,USA,1920,0.7
United States,USA,1930,0.56
United States,USA,1960,6.2148666
United States,USA,1961,6.785977
United States,USA,1962,6.833349
United States,USA,1963,6.8057847
United States,USA,1964,6.717871
United States,USA,1965,6.7227244
United States,USA,1966,6.835506
United States,USA,1967,7.513561
United States,USA,1968,7.8853393
United States,USA,1969,7.979135
United States,USA,1970,8.879691
United States,USA,1971,9.5997715
United States,USA,1972,9.746132
United States,USA,1973,9.940621
United States,USA,1974,10.912134
United States,USA,1975,12.406018
United States,USA,1976,12.254199
United States,USA,1977,12.023055
United States,USA,1978,11.657559
United States,USA,1979,11.810509
United States,USA,1980,12.86
United States,USA,1981,13.2
United States,USA,1982,13.619
United States,USA,1983,13.783
United States,USA,1984,12.894
United States,USA,1985,12.587
United States,USA,1986,12.924
United States,USA,1987,12.883
United States,USA,1988,12.845
United States,USA,1989,12.833
United States,USA,1990,13.195
United States,USA,1991,14.162
United States,USA,1992,14.841
United States,USA,1993,15.108
United States,USA,1994,15.052
United States,USA,1995,14.932
United States,USA,1996,14.74
United States,USA,1997,14.323
United States,USA,1998,14.385
United States,USA,1999,14.111
United States,USA,2000,14.123
United States,USA,2001,14.698
United States,USA,2002,15.535
United States,USA,2003,15.801
United States,USA,2004,15.664
United States,USA,2005,15.494
United States,USA,2006,15.544
United States,USA,2007,15.676
United States,USA,2008,16.251
United States,USA,2009,18.32
United States,USA,2010,19.048
United States,USA,2011,18.749
United States,USA,2012,18.483
United States,USA,2013,18.421
United States,USA,2014,18.41
United States,USA,2015,18.483
United States,USA,2016,18.588
United States,USA,2017,18.386
United States,USA,2018,18.153
United States,USA,2019,18.202
United States,USA,2020,23.677
United States,USA,2021,21.619
United States,USA,2022,18.98
United States,USA,2023,18.951
United States,USA,2024,19.814
