year,frequency_share,frequency_percent,corpus,period
1967,1.6572245442603162e-07,1.6572245442603162e-05,American English 2012/v2 (corpus=17),cross_check_observed
1968,2.549807334162324e-07,2.549807334162324e-05,American English 2012/v2 (corpus=17),cross_check_observed
1969,1.708879580064604e-07,1.708879580064604e-05,American English 2012/v2 (corpus=17),cross_check_observed
1970,2.117225079700802e-07,2.117225079700802e-05,American English 2012/v2 (corpus=17),cross_check_observed
1971,2.6895324367615103e-07,2.6895324367615103e-05,American English 2012/v2 (corpus=17),cross_check_observed
1972,3.06449607023751e-07,3.06449607023751e-05,American English 2012/v2 (corpus=17),cross_check_observed
1973,3.7309510503291676e-07,3.7309510503291676e-05,American English 2012/v2 (corpus=17),cross_check_observed
1974,3.840727913484443e-07,3.840727913484443e-05,American English 2012/v2 (corpus=17),cross_check_observed
1975,4.359884826499183e-07,4.359884826499183e-05,American English 2012/v2 (corpus=17),cross_check_observed
1976,4.476567596611858e-07,4.476567596611858e-05,American English 2012/v2 (corpus=17),cross_check_observed
1977,6.912351864230004e-07,6.912351864230004e-05,American English 2012/v2 (corpus=17),cross_check_observed
1978,4.896054406344774e-07,4.896054406344774e-05,American English 2012/v2 (corpus=17),cross_check_observed
1979,6.922631996530981e-07,6.922631996530981e-05,American English 2012/v2 (corpus=17),cross_check_observed
1980,7.062167810545361e-07,7.062167810545361e-05,American English 2012/v2 (corpus=17),cross_check_observed
1981,8.008768759282248e-07,8.008768759282248e-05,American English 2012/v2 (corpus=17),cross_check_observed
1982,1.0862225963137462e-06,0.00010862225963137462,American English 2012/v2 (corpus=17),cross_check_observed
1983,8.176286314665049e-07,8.176286314665049e-05,American English 2012/v2 (corpus=17),cross_check_observed
1984,1.036819526234467e-06,0.0001036819526234467,American English 2012/v2 (corpus=17),cross_check_observed
1985,9.681316441856325e-07,9.681316441856325e-05,American English 2012/v2 (corpus=17),cross_check_observed
1986,1.2935996664964478e-06,0.00012935996664964478,American English 2012/v2 (corpus=17),cross_check_observed
1987,1.0548691307121771e-06,0.00010548691307121771,American English 2012/v2 (corpus=17),cross_check_observed
1988,1.4221876654119114e-06,0.00014221876654119114,American English 2012/v2 (corpus=17),cross_check_observed
1989,1.8175675222664722e-06,0.00018175675222664722,American English 2012/v2 (corpus=17),cross_check_observed
1990,2.9467917102010688e-06,0.0002946791710201069,American English 2012/v2 (corpus=17),cross_check_observed
1991,2.9117352369212313e-06,0.0002911735236921231,American English 2012/v2 (corpus=17),cross_check_observed
1992,4.5083925215294585e-06,0.00045083925215294585,American English 2012/v2 (corpus=17),cross_check_observed
1993,5.0083599489880726e-06,0.0005008359948988073,American English 2012/v2 (corpus=17),cross_check_observed
1994,5.609104846371338e-06,0.0005609104846371338,American English 2012/v2 (corpus=17),cross_check_observed
1995,6.3139818848867435e-06,0.0006313981884886744,American English 2012/v2 (corpus=17),cross_check_observed
1996,6.122402737673838e-06,0.0006122402737673838,American English 2012/v2 (corpus=17),cross_check_observed
1997,6.904811925778631e-06,0.0006904811925778631,American English 2012/v2 (corpus=17),cross_check_observed
1998,7.450594239344355e-06,0.0007450594239344355,American English 2012/v2 (corpus=17),cross_check_observed
1999,6.980524631217122e-06,0.0006980524631217122,American English 2012/v2 (corpus=17),cross_check_observed
2000,7.396741239062976e-06,0.0007396741239062976,American English 2012/v2 (corpus=17),cross_check_observed
2001,6.859076165710576e-06,0.0006859076165710576,American English 2012/v2 (corpus=17),cross_check_observed
2002,6.67599715598044e-06,0.000667599715598044,American English 2012/v2 (corpus=17),cross_check_observed
2003,6.188344286783831e-06,0.0006188344286783831,American English 2012/v2 (corpus=17),cross_check_observed
2004,6.409374236682197e-06,0.0006409374236682197,American English 2012/v2 (corpus=17),cross_check_observed
2005,7.1087329160945956e-06,0.0007108732916094596,American English 2012/v2 (corpus=17),cross_check_observed
2006,7.82973802415654e-06,0.0007829738024156541,American English 2012/v2 (corpus=17),cross_check_observed
2007,7.03060186424409e-06,0.000703060186424409,American English 2012/v2 (corpus=17),cross_check_observed
2008,5.854189112142194e-06,0.0005854189112142194,American English 2012/v2 (corpus=17),cross_check_observed
1955,2.501878384464362e-07,2.5018783844643622e-05,Current en-US-2019,successor_observed
1956,3.0095685588094057e-07,3.0095685588094057e-05,Current en-US-2019,successor_observed
1957,3.319093764275749e-07,3.319093764275749e-05,Current en-US-2019,successor_observed
1958,5.993694003336714e-07,5.9936940033367136e-05,Current en-US-2019,successor_observed
1959,5.178988544685126e-07,5.178988544685126e-05,Current en-US-2019,successor_observed
1960,6.1834867892685e-07,6.1834867892685e-05,Current en-US-2019,successor_observed
1961,4.2349688555987086e-07,4.2349688555987086e-05,Current en-US-2019,successor_observed
1962,4.199569332286046e-07,4.199569332286046e-05,Current en-US-2019,successor_observed
1963,4.982598511560354e-07,4.9825985115603544e-05,Current en-US-2019,successor_observed
1964,4.018478421130567e-07,4.018478421130567e-05,Current en-US-2019,successor_observed
1965,4.7032386873979704e-07,4.7032386873979704e-05,Current en-US-2019,successor_observed
1966,5.7849962331602e-07,5.7849962331602e-05,Current en-US-2019,successor_observed
1967,5.136982963449555e-07,5.1369829634495545e-05,Current en-US-2019,successor_observed
1968,4.750592665914155e-07,4.750592665914155e-05,Current en-US-2019,successor_observed
1969,5.491748424901743e-07,5.4917484249017434e-05,Current en-US-2019,successor_observed
1970,5.369825544221385e-07,5.369825544221385e-05,Current en-US-2019,successor_observed
1971,6.453767014136247e-07,6.453767014136247e-05,Current en-US-2019,successor_observed
1972,6.549224167429202e-07,6.549224167429202e-05,Current en-US-2019,successor_observed
1973,8.536044902029971e-07,8.536044902029971e-05,Current en-US-2019,successor_observed
1974,8.222144742831006e-07,8.222144742831006e-05,Current en-US-2019,successor_observed
1975,1.0014342706199386e-06,0.00010014342706199386,Current en-US-2019,successor_observed
1976,1.2842624528275337e-06,0.00012842624528275337,Current en-US-2019,successor_observed
1977,1.3008541372983018e-06,0.00013008541372983018,Current en-US-2019,successor_observed
1978,1.1506598411870073e-06,0.00011506598411870073,Current en-US-2019,successor_observed
1979,1.0629753433022415e-06,0.00010629753433022415,Current en-US-2019,successor_observed
1980,1.22262611057522e-06,0.000122262611057522,Current en-US-2019,successor_observed
1981,1.5851312582526589e-06,0.0001585131258252659,Current en-US-2019,successor_observed
1982,1.5656222558391164e-06,0.00015656222558391164,Current en-US-2019,successor_observed
1983,1.6637518456263933e-06,0.00016637518456263933,Current en-US-2019,successor_observed
1984,2.0097488686587894e-06,0.00020097488686587894,Current en-US-2019,successor_observed
1985,1.791108616089332e-06,0.0001791108616089332,Current en-US-2019,successor_observed
1986,2.0360146208986407e-06,0.00020360146208986407,Current en-US-2019,successor_observed
1987,2.2512545001518447e-06,0.00022512545001518447,Current en-US-2019,successor_observed
1988,2.9792468012601603e-06,0.00029792468012601603,Current en-US-2019,successor_observed
1989,4.240501766616944e-06,0.0004240501766616944,Current en-US-2019,successor_observed
1990,5.8669843383540865e-06,0.0005866984338354087,Current en-US-2019,successor_observed
1991,6.3488964769931044e-06,0.0006348896476993104,Current en-US-2019,successor_observed
1992,8.470209650113247e-06,0.0008470209650113247,Current en-US-2019,successor_observed
1993,9.60012857831316e-06,0.0009600128578313161,Current en-US-2019,successor_observed
1994,1.071616861736402e-05,0.001071616861736402,Current en-US-2019,successor_observed
1995,1.0606659998302348e-05,0.0010606659998302348,Current en-US-2019,successor_observed
1996,1.0476209354237653e-05,0.0010476209354237653,Current en-US-2019,successor_observed
1997,1.053046162269311e-05,0.001053046162269311,Current en-US-2019,successor_observed
1998,1.0521844160393812e-05,0.0010521844160393812,Current en-US-2019,successor_observed
1999,1.088519456970971e-05,0.001088519456970971,Current en-US-2019,successor_observed
2000,1.0312328413419891e-05,0.0010312328413419891,Current en-US-2019,successor_observed
2001,9.838748155743815e-06,0.0009838748155743815,Current en-US-2019,successor_observed
2002,1.0563029718468897e-05,0.0010563029718468897,Current en-US-2019,successor_observed
2003,1.025142591970507e-05,0.001025142591970507,Current en-US-2019,successor_observed
2004,1.0804466000990942e-05,0.0010804466000990942,Current en-US-2019,successor_observed
2005,1.1458377230155747e-05,0.0011458377230155747,Current en-US-2019,successor_observed
2006,1.139490632340312e-05,0.001139490632340312,Current en-US-2019,successor_observed
2007,1.2283563592063729e-05,0.0012283563592063729,Current en-US-2019,successor_observed
2008,1.307375350734219e-05,0.001307375350734219,Current en-US-2019,successor_observed
2009,1.2175741176179145e-05,0.0012175741176179145,Current en-US-2019,successor_observed
2010,1.4587014447897673e-05,0.0014587014447897673,Current en-US-2019,successor_observed
2011,1.4049680430616718e-05,0.0014049680430616718,Current en-US-2019,successor_observed
2012,1.2948638868692797e-05,0.0012948638868692797,Current en-US-2019,successor_observed
2013,1.340506332780933e-05,0.001340506332780933,Current en-US-2019,successor_observed
2014,1.3158086403564084e-05,0.0013158086403564084,Current en-US-2019,successor_observed
2015,1.4042177099327091e-05,0.0014042177099327091,Current en-US-2019,successor_observed
2016,1.4755717529624235e-05,0.0014755717529624235,Current en-US-2019,successor_observed
2017,1.4805016689933836e-05,0.0014805016689933836,Current en-US-2019,successor_observed
2018,1.468687150918413e-05,0.001468687150918413,Current en-US-2019,successor_observed
2019,1.821336627472192e-05,0.001821336627472192,Current en-US-2019,successor_observed
