year,sex,activity,hours_per_day,source_path,population
2019,women,Food preparation and cleanup,0.79,figures/17-6/data/raw/bls_a1_2019.pdf,civilian noninstitutional population 15+
2021,total,Household activities,1.95,figures/17-6/data/raw/bls_a1_2021.pdf,civilian noninstitutional population 15+
2021,men,Household activities,1.54,figures/17-6/data/raw/bls_a1_2021.pdf,civilian noninstitutional population 15+
2021,women,Household activities,2.33,figures/17-6/data/raw/bls_a1_2021.pdf,civilian noninstitutional population 15+
2021,total,Housework,0.58,figures/17-6/data/raw/bls_a1_2021.pdf,civilian noninstitutional population 15+
2021,men,Housework,0.30,figures/17-6/data/raw/bls_a1_2021.pdf,civilian noninstitutional population 15+
2021,women,Housework,0.84,figures/17-6/data/raw/bls_a1_2021.pdf,civilian noninstitutional population 15+
2021,total,Food preparation and cleanup,0.64,figures/17-6/data/raw/bls_a1_2021.pdf,civilian noninstitutional population 15+
2021,men,Food preparation and cleanup,0.42,figures/17-6/data/raw/bls_a1_2021.pdf,civilian noninstitutional population 15+
2021,women,Food preparation and cleanup,0.86,figures/17-6/data/raw/bls_a1_2021.pdf,civilian noninstitutional population 15+
2022,total,Household activities,1.89,figures/17-6/data/raw/bls_a1_2022.pdf,civilian noninstitutional population 15+
2022,men,Household activities,1.51,figures/17-6/data/raw/bls_a1_2022.pdf,civilian noninstitutional population 15+
2022,women,Household activities,2.26,figures/17-6/data/raw/bls_a1_2022.pdf,civilian noninstitutional population 15+
2022,total,Housework,0.57,figures/17-6/data/raw/bls_a1_2022.pdf,civilian noninstitutional population 15+
2022,men,Housework,0.31,figures/17-6/data/raw/bls_a1_2022.pdf,civilian noninstitutional population 15+
2022,women,Housework,0.82,figures/17-6/data/raw/bls_a1_2022.pdf,civilian noninstitutional population 15+
2022,total,Food preparation and cleanup,0.65,figures/17-6/data/raw/bls_a1_2022.pdf,civilian noninstitutional population 15+
2022,men,Food preparation and cleanup,0.42,figures/17-6/data/raw/bls_a1_2022.pdf,civilian noninstitutional population 15+
2022,women,Food preparation and cleanup,0.87,figures/17-6/data/raw/bls_a1_2022.pdf,civilian noninstitutional population 15+
2023,total,Household activities,1.92,figures/17-6/data/raw/bls_a1_2023.pdf,civilian noninstitutional population 15+
2023,men,Household activities,1.49,figures/17-6/data/raw/bls_a1_2023.pdf,civilian noninstitutional population 15+
2023,women,Household activities,2.32,figures/17-6/data/raw/bls_a1_2023.pdf,civilian noninstitutional population 15+
2023,total,Housework,0.61,figures/17-6/data/raw/bls_a1_2023.pdf,civilian noninstitutional population 15+
2023,men,Housework,0.32,figures/17-6/data/raw/bls_a1_2023.pdf,civilian noninstitutional population 15+
2023,women,Housework,0.89,figures/17-6/data/raw/bls_a1_2023.pdf,civilian noninstitutional population 15+
2023,total,Food preparation and cleanup,0.65,figures/17-6/data/raw/bls_a1_2023.pdf,civilian noninstitutional population 15+
2023,men,Food preparation and cleanup,0.43,figures/17-6/data/raw/bls_a1_2023.pdf,civilian noninstitutional population 15+
2023,women,Food preparation and cleanup,0.85,figures/17-6/data/raw/bls_a1_2023.pdf,civilian noninstitutional population 15+
2024,total,Household activities,2.01,figures/17-6/data/raw/bls_a1_2024.pdf,civilian noninstitutional population 15+
2024,men,Household activities,1.67,figures/17-6/data/raw/bls_a1_2024.pdf,civilian noninstitutional population 15+
2024,women,Household activities,2.34,figures/17-6/data/raw/bls_a1_2024.pdf,civilian noninstitutional population 15+
2024,total,Housework,0.62,figures/17-6/data/raw/bls_a1_2024.pdf,civilian noninstitutional population 15+
2024,men,Housework,0.36,figures/17-6/data/raw/bls_a1_2024.pdf,civilian noninstitutional population 15+
2024,women,Housework,0.88,figures/17-6/data/raw/bls_a1_2024.pdf,civilian noninstitutional population 15+
2024,total,Food preparation and cleanup,0.67,figures/17-6/data/raw/bls_a1_2024.pdf,civilian noninstitutional population 15+
2024,men,Food preparation and cleanup,0.46,figures/17-6/data/raw/bls_a1_2024.pdf,civilian noninstitutional population 15+
2024,women,Food preparation and cleanup,0.86,figures/17-6/data/raw/bls_a1_2024.pdf,civilian noninstitutional population 15+
2025,total,Household activities,1.99,figures/17-6/data/raw/bls_a1_2025.pdf,civilian noninstitutional population 15+
2025,men,Household activities,1.58,figures/17-6/data/raw/bls_a1_2025.pdf,civilian noninstitutional population 15+
2025,women,Household activities,2.38,figures/17-6/data/raw/bls_a1_2025.pdf,civilian noninstitutional population 15+
2025,total,Housework,0.56,figures/17-6/data/raw/bls_a1_2025.pdf,civilian noninstitutional population 15+
2025,men,Housework,0.30,figures/17-6/data/raw/bls_a1_2025.pdf,civilian noninstitutional population 15+
2025,women,Housework,0.81,figures/17-6/data/raw/bls_a1_2025.pdf,civilian noninstitutional population 15+
2025,total,Food preparation and cleanup,0.71,figures/17-6/data/raw/bls_a1_2025.pdf,civilian noninstitutional population 15+
2025,men,Food preparation and cleanup,0.51,figures/17-6/data/raw/bls_a1_2025.pdf,civilian noninstitutional population 15+
2025,women,Food preparation and cleanup,0.91,figures/17-6/data/raw/bls_a1_2025.pdf,civilian noninstitutional population 15+
